product_id,product_name,category,price,quantity_sold,rating,review_count
0,Range,Electronics,5809,325,3.3,492
1,Build,Home,6429,362,3.7,101
2,Raise,Clothing,5722,207,2.7,182
3,General,Books,6421,123,3.7,303
4,Something,Books,9656,228,4.2,93
5,Spring,Clothing,4098,635,3.8,457
6,White,Books,405,400,4.1,327
7,Law,Sports,3900,779,3.0,395
8,Thing,Sports,9125,201,2.2,138
9,Again,Home,4537,354,4.4,180
10,Key,Books,7424,38,2.5,186
11,Whom,Home,3774,370,4.4,342
12,Animal,Toys,7434,112,2.1,327
13,Way,Clothing,9523,813,3.8,451
14,The,Toys,7590,819,4.6,482
15,Available,Books,6899,616,2.7,155
16,Strategy,Books,5093,2,1.7,132
17,Pattern,Home,1777,598,4.6,309
18,Trade,Clothing,4426,537,2.2,460
19,Itself,Sports,8323,761,4.2,48
20,Role,Clothing,1855,951,1.6,421
21,Reflect,Clothing,5554,799,1.3,275
22,Garden,Home,1162,371,2.5,288
23,Nor,Sports,6687,251,1.1,52
24,Operation,Clothing,7815,377,1.7,465
25,Yourself,Electronics,9916,718,2.6,281
26,Card,Toys,7893,521,4.5,245
27,Brother,Books,7067,324,4.9,151
28,Water,Electronics,6940,80,4.1,26
29,See,Sports,8469,542,2.0,102
30,Arm,Books,8671,581,5.0,131
31,Notice,Electronics,8379,301,4.8,368
32,Pass,Toys,5927,294,3.0,31
33,Model,Home,6091,9,1.6,180
34,Wind,Home,54,609,2.1,212
35,Four,Sports,6999,885,4.4,55
36,Center,Toys,217,227,3.7,476
37,Goal,Sports,2384,449,4.6,19
38,Very,Toys,543,763,3.2,130
39,Discussion,Books,4861,311,1.9,458
40,No,Clothing,7557,204,3.1,20
41,Sometimes,Sports,4045,53,4.1,406
42,Result,Clothing,983,176,4.8,92
43,City,Clothing,2261,149,3.0,488
44,Herself,Books,9202,644,4.8,350
45,Fear,Clothing,3936,626,4.0,149
46,Source,Toys,1778,450,2.6,312
47,Their,Toys,1487,711,1.9,298
48,Conference,Home,8685,423,1.5,221
49,Exist,Toys,214,1,2.2,138
50,Seven,Clothing,2992,5,4.6,101
51,Win,Electronics,9805,896,3.7,402
52,Different,Electronics,1567,444,3.4,441
53,Investment,Sports,242,699,3.8,75
54,Top,Toys,2008,532,4.4,461
55,Daughter,Sports,6158,631,1.9,125
56,Cell,Clothing,1735,732,2.6,360
57,Line,Toys,8037,564,2.8,349
58,One,Books,2916,857,3.4,76
59,Republican,Electronics,2287,604,2.8,253
60,Responsibility,Home,7276,54,1.6,430
61,Until,Clothing,9110,204,2.0,395
62,Issue,Toys,3091,687,4.5,45
63,Should,Sports,1058,527,1.5,393
64,Run,Home,3845,796,3.4,289
65,Note,Sports,5660,469,2.7,271
66,Must,Clothing,332,79,3.8,212
67,Wear,Clothing,5475,45,1.3,364
68,His,Toys,535,553,2.7,150
69,Get,Toys,7565,105,3.3,135
70,A,Books,9202,674,1.4,191
71,Case,Sports,1975,837,1.8,308
72,Medical,Sports,9906,190,1.4,85
73,Government,Electronics,8275,806,3.4,251
74,Vote,Sports,2933,940,3.6,367
75,Market,Clothing,7669,797,2.0,133
76,Structure,Electronics,5428,650,4.8,423
77,Believe,Clothing,9171,98,3.2,293
78,Worker,Clothing,7306,831,3.2,475
79,Source,Toys,9956,203,2.8,479
80,Really,Electronics,4459,540,2.8,37
81,Peace,Books,6197,660,1.4,354
82,Bank,Home,2731,487,4.6,36
83,Hand,Clothing,219,289,1.3,384
84,Put,Electronics,2820,61,3.9,63
85,From,Electronics,7969,600,2.9,182
86,Member,Sports,6258,690,2.1,59
87,Case,Sports,5403,239,1.6,300
88,Religious,Electronics,978,415,2.5,340
89,Let,Toys,1485,561,2.8,493
90,History,Clothing,280,594,3.8,90
91,Else,Electronics,2276,613,3.8,71
92,Though,Books,9746,440,1.7,353
93,Necessary,Books,8896,390,3.3,364
94,It,Toys,1219,334,3.1,150
95,Scene,Books,5966,351,4.9,68
96,Partner,Books,4102,614,2.8,497
97,Answer,Home,1448,870,2.9,207
98,Them,Electronics,9026,658,4.9,281
99,Decide,Clothing,6972,264,3.7,285
100,Bill,Electronics,5509,248,2.1,60
101,Relate,Toys,3024,132,2.4,219
102,Camera,Clothing,2970,465,3.8,406
103,Under,Toys,2682,918,2.1,138
104,Past,Books,4860,697,3.0,145
105,Court,Sports,7381,951,4.4,73
106,Return,Electronics,3127,938,2.1,329
107,Industry,Sports,5404,294,2.5,123
108,Though,Toys,4704,966,2.6,478
109,Its,Toys,5623,931,3.3,341
110,Trial,Sports,4559,838,3.4,105
111,Common,Electronics,1629,952,2.0,293
112,Price,Books,5132,742,1.6,429
113,Rich,Clothing,835,571,4.9,269
114,Republican,Clothing,4927,595,2.9,134
115,My,Clothing,7457,602,3.5,64
116,Billion,Books,5838,491,1.3,47
117,Blood,Home,9897,202,2.3,293
118,Use,Toys,1961,313,1.5,110
119,Physical,Clothing,8632,174,1.1,48
120,Catch,Books,7441,197,3.5,224
121,Sense,Clothing,1341,481,3.3,338
122,Without,Books,287,916,3.1,143
123,Show,Books,8181,635,1.2,341
124,Member,Clothing,5434,339,3.4,97
125,Candidate,Clothing,2414,982,3.0,367
126,Artist,Clothing,9593,986,2.5,157
127,Adult,Books,3584,33,4.8,150
128,Determine,Sports,5377,818,3.0,347
129,And,Clothing,9770,101,2.1,171
130,New,Sports,2048,315,1.6,188
131,Mission,Home,3487,376,3.8,118
132,Model,Toys,1346,414,2.5,460
133,Method,Sports,2120,83,3.1,83
134,Mouth,Sports,9822,179,2.6,352
135,Mother,Books,9412,143,1.0,208
136,Protect,Sports,2705,960,3.8,415
137,Available,Toys,9200,120,1.7,358
138,Account,Home,1648,77,5.0,290
139,Star,Home,6092,879,4.8,355
140,Than,Sports,8636,409,2.6,323
141,Everything,Toys,769,651,3.9,467
142,Democratic,Books,854,831,1.3,353
143,Really,Sports,2075,992,2.1,266
144,Watch,Home,1370,276,3.4,109
145,Machine,Clothing,1078,841,1.3,98
146,Improve,Home,5701,92,3.4,65
147,Tax,Clothing,7325,101,1.9,371
148,Decide,Toys,2549,987,4.7,386
149,Practice,Books,320,470,2.5,289
150,Ten,Books,8020,616,1.8,397
151,Read,Sports,6532,879,1.4,166
152,So,Toys,2002,874,3.2,66
153,Voice,Electronics,1069,203,3.3,228
154,Education,Toys,4993,414,3.5,424
155,Politics,Toys,6369,33,3.1,46
156,Nor,Clothing,4747,198,1.6,160
157,White,Toys,2296,600,2.1,475
158,Space,Sports,5587,670,2.0,103
159,These,Electronics,5233,795,1.9,488
160,Statement,Toys,8172,887,3.6,137
161,Traditional,Toys,8906,233,3.9,443
162,Program,Home,7464,214,3.0,491
163,Yard,Clothing,3865,877,2.4,494
164,Board,Home,5369,649,2.3,157
165,Institution,Clothing,6661,721,4.2,157
166,Low,Home,6837,778,1.0,349
167,Add,Home,9246,467,2.7,41
168,Something,Home,1403,609,4.4,370
169,Wonder,Home,1148,487,1.5,169
170,Save,Toys,8099,983,1.9,16
171,Second,Toys,5832,952,4.3,27
172,Large,Sports,1974,851,4.9,358
173,Animal,Toys,1432,540,2.5,474
174,Successful,Books,8974,425,2.5,88
175,Matter,Home,9818,741,4.4,289
176,Present,Toys,8329,120,2.2,166
177,Draw,Books,6960,908,2.3,411
178,Citizen,Books,269,253,5.0,301
179,Outside,Home,7773,928,1.8,458
180,Music,Toys,6070,821,4.6,496
181,Song,Electronics,2581,866,2.1,258
182,Rather,Home,8455,861,3.2,108
183,Want,Electronics,7545,42,3.6,301
184,Face,Electronics,8365,127,2.7,183
185,Treat,Electronics,5597,390,2.3,469
186,Must,Clothing,2369,51,3.0,110
187,Not,Electronics,2238,42,1.2,175
188,Executive,Clothing,1082,863,3.8,21
189,Change,Toys,9213,493,3.1,25
190,And,Toys,7263,36,1.4,398
191,Important,Home,8264,95,1.6,27
192,Ahead,Toys,9862,117,2.3,60
193,Always,Electronics,5134,758,4.4,410
194,Manage,Electronics,8219,692,1.3,98
195,Wonder,Toys,8796,76,2.9,448
196,Will,Electronics,4582,855,1.2,291
197,Improve,Home,2042,148,4.8,198
198,Fight,Electronics,658,994,4.0,138
199,Machine,Sports,3344,433,2.1,62
200,Economic,Electronics,2420,346,3.3,317
201,Book,Electronics,7037,618,3.4,478
202,Rock,Sports,7288,353,4.4,196
203,Suddenly,Toys,806,717,1.1,201
204,Sort,Electronics,9208,915,4.9,417
205,Me,Home,5130,891,1.0,190
206,Manage,Home,8400,986,1.2,54
207,Treatment,Clothing,6379,770,3.3,336
208,Town,Clothing,1896,540,4.5,143
209,Company,Toys,1384,240,2.2,143
210,Next,Home,7898,32,2.9,315
211,Last,Electronics,1751,935,1.2,34
212,Property,Home,5951,105,3.8,145
213,History,Toys,3756,694,4.5,306
214,Southern,Sports,2325,592,2.7,337
215,People,Electronics,1498,77,4.6,455
216,Thank,Clothing,6535,114,3.5,479
217,Court,Clothing,3349,447,3.0,323
218,Yeah,Books,5804,763,1.2,486
219,No,Sports,6545,801,3.9,199
220,North,Books,4925,719,1.3,19
221,With,Sports,6542,232,1.9,397
222,Loss,Toys,1814,532,2.5,34
223,Meeting,Clothing,155,192,1.2,357
224,Leader,Home,46,196,2.7,414
225,Task,Sports,8928,959,2.2,126
226,Miss,Clothing,6596,685,3.3,56
227,Soon,Clothing,4948,921,4.2,90
228,Accept,Books,9874,986,3.7,80
229,Try,Home,1570,798,4.9,431
230,While,Home,5409,163,3.5,460
231,From,Home,8260,297,4.5,229
232,Where,Toys,5639,880,1.5,96
233,Increase,Clothing,7783,411,1.6,474
234,Fly,Home,3462,543,1.2,411
235,Mother,Electronics,3808,599,4.1,394
236,Measure,Toys,639,359,1.0,75
237,Choose,Home,9213,658,1.9,452
238,Value,Sports,4777,458,3.4,388
239,Apply,Books,5563,273,1.3,82
240,Trip,Sports,4729,572,2.4,165
241,Approach,Clothing,2040,640,2.5,442
242,Learn,Electronics,2032,71,2.8,79
243,Gas,Sports,1556,192,1.2,77
244,East,Clothing,4780,156,3.0,98
245,Church,Electronics,2891,59,4.4,353
246,Money,Electronics,9808,678,2.1,334
247,Wear,Home,820,177,3.4,478
248,Suggest,Toys,4372,139,1.2,114
249,Analysis,Electronics,4020,823,1.7,151
250,Smile,Home,6795,258,3.1,465
251,Though,Home,9026,337,1.9,256
252,Room,Books,8444,616,2.8,403
253,Consider,Sports,2580,893,3.6,153
254,Receive,Toys,8177,592,2.7,24
255,Activity,Toys,272,276,3.1,198
256,Class,Books,2741,795,2.1,26
257,Memory,Books,6815,42,3.7,110
258,South,Electronics,7116,193,4.2,31
259,Pass,Electronics,4436,789,4.0,450
260,Cover,Home,1316,499,4.3,194
261,Determine,Clothing,3338,455,4.4,485
262,Strategy,Books,5376,302,3.9,232
263,Government,Home,4122,931,3.5,153
264,Why,Sports,227,975,2.4,132
265,Create,Clothing,8689,362,3.4,78
266,Yes,Books,815,599,4.7,325
267,Beyond,Toys,8183,546,3.1,249
268,Once,Books,8,493,4.9,268
269,However,Clothing,7322,243,2.4,407
270,Among,Clothing,6875,925,3.9,132
271,Event,Toys,7165,705,4.7,438
272,Doctor,Clothing,8018,427,4.1,402
273,Economy,Home,5213,424,1.6,60
274,Health,Home,6022,160,4.2,414
275,Up,Toys,5688,814,4.6,191
276,Second,Home,5235,453,2.9,198
277,Rate,Clothing,8792,445,4.1,250
278,Front,Sports,7071,918,1.3,122
279,Whom,Books,6223,615,1.5,213
280,Rich,Toys,4771,909,4.0,241
281,Hair,Toys,5740,26,3.8,470
282,Foot,Clothing,839,176,3.8,409
283,Among,Clothing,1084,706,2.0,406
284,Some,Sports,4804,795,2.1,109
285,Notice,Toys,2587,509,4.9,320
286,Finish,Books,8510,413,3.9,329
287,Young,Home,8352,174,1.9,309
288,Kind,Clothing,480,452,4.3,205
289,Civil,Home,5621,591,1.2,126
290,Produce,Electronics,4623,706,2.6,442
291,Tv,Books,9188,596,1.0,402
292,Hit,Clothing,2932,657,4.7,369
293,Congress,Home,364,156,3.4,316
294,Receive,Sports,2496,401,3.0,396
295,Turn,Home,2065,404,4.8,394
296,Fact,Sports,4301,849,2.8,412
297,Across,Toys,2807,854,3.6,382
298,Space,Books,940,997,3.7,468
299,Own,Toys,5236,101,3.4,224
300,Expect,Electronics,1241,129,2.4,101
301,Ahead,Clothing,8453,194,4.5,232
